char,cong,irred,nu-invariants,ideals
2,2,False,1,"ideal(x^3,y^4)"
3,3,False,"1, 2","ideal(y^3+x^2), ideal(y^6-x^2*y^3+x^4)"
5,5,False,"1, 2, 3, 4","ideal(y,x), ideal(x*y,x^2,y^3), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3*y,x^4,x^2*y^3,x*y^5,y^7)"
7,7,False,"1, 2, 3, 4, 5, 6","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(x*y^3,x^2*y^2,x^3*y,x^4,y^5), ideal(x^2*y^3,x^3*y^2,x^4*y,x^5,y^6,x*y^5)"
11,11,False,"2, 3, 4, 5, 6, 7, 8, 9, 10","ideal 1, ideal(y,x), ideal(x,y^2), ideal(x*y,x^2,y^3), ideal(x^2,x*y^2,y^4), ideal(x^2*y,x^3,y^4,x*y^3), ideal(x^3,x^2*y^2,y^5,x*y^4), ideal(x^3*y,x^4,x*y^4,x^2*y^3,y^6), ideal(x^4,x^3*y^2,x*y^5,x^2*y^4,y^7)"
13,13,False,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x^2,y^3,x*y^2), ideal(x*y^2,x^2*y,x^3,y^4), ideal(x^3,y^4,x*y^3,x^2*y^2), ideal(x^2*y^2,x^3*y,x^4,y^5,x*y^4), ideal(x^4,x*y^4,x^2*y^3,x^3*y^2,y^6), ideal(x^3*y^2,x^4*y,x^5,y^6,x*y^5,x^2*y^4)"
17,17,False,"3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3), ideal(x^2,y^3,x*y^2), ideal(x*y^2,x^2*y,x^3,y^4), ideal(x^2*y,x^3,y^4,x*y^3), ideal(x^3,x*y^3,x^2*y^2,y^5), ideal(x^2*y^2,x^3*y,x^4,y^5,x*y^4), ideal(x^3*y,x^4,x*y^4,x^2*y^3,y^6), ideal(x^4,x^2*y^3,x^3*y^2,y^6,x*y^5), ideal(x^3*y^2,x^4*y,x^5,x*y^5,x^2*y^4,y^7)"
19,19,False,"5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3), ideal(x^2,y^3,x*y^2), ideal(x*y^2,x^2*y,x^3,y^4), ideal(x^2*y,x^3,y^4,x*y^3), ideal(x^3,x*y^3,x^2*y^2,y^5), ideal(x^2*y^2,x^3*y,x^4,y^5,x*y^4), ideal(x^3*y,x^4,x*y^4,x^2*y^3,y^6), ideal(x^4,x^2*y^3,x^3*y^2,y^6,x*y^5), ideal(x^3*y^2,x^4*y,x^5,x*y^5,x^2*y^4,y^7)"
23,23,False,"5, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3), ideal(x^2,y^3,x*y^2), ideal(x*y^2,x^2*y,x^3,y^4), ideal(x^2*y,x^3,y^4,x*y^3), ideal(x^2*y,x^3,x*y^3,y^5), ideal(x^3,x*y^3,x^2*y^2,y^5), ideal(x^2*y^2,x^3*y,x^4,y^5,x*y^4), ideal(x^3*y,x^4,x*y^4,x^2*y^3,y^6), ideal(x^3*y,x^4,x^2*y^3,y^6,x*y^5), ideal(x^4,x^2*y^3,x^3*y^2,x*y^5,y^7), ideal(x^3*y^2,x^4*y,x^5,x*y^5,x^2*y^4,y^7)"
29,-25,False,"7, 10, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 25, 26, 27, 28","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3), ideal(x^2,y^3,x*y^2), ideal(x^2,x*y^2,y^4), ideal(x*y^2,x^2*y,x^3,y^4), ideal(x^2*y,x^3,y^4,x*y^3), ideal(x^3,x*y^3,x^2*y^2,y^5), ideal(x^3,x^2*y^2,y^5,x*y^4), ideal(x^2*y^2,x^3*y,x^4,y^5,x*y^4), ideal(x^3*y,x^4,x*y^4,x^2*y^3,y^6), ideal(x^4,x^2*y^3,x^3*y^2,y^6,x*y^5), ideal(x^4,x^3*y^2,x*y^5,x^2*y^4,y^7), ideal(x^3*y^2,x^4*y,x^5,x*y^5,x^2*y^4,y^7)"
31,-23,False,"8, 11, 13, 15, 16, 18, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3), ideal(x^2,y^3,x*y^2), ideal(x*y^2,x^2*y,x^3,y^4), ideal(x^2*y,x^3,y^4,x*y^3), ideal(x^3,y^4,x*y^3,x^2*y^2), ideal(x^3,x*y^3,x^2*y^2,y^5), ideal(x^2*y^2,x^3*y,x^4,y^5,x*y^4), ideal(x^3*y,x^4,x*y^4,x^2*y^3,y^6), ideal(x^4,x*y^4,x^2*y^3,x^3*y^2,y^6), ideal(x^4,x^2*y^3,x^3*y^2,y^6,x*y^5), ideal(x^3*y^2,x^4*y,x^5,y^6,x*y^5,x^2*y^4), ideal(x^3*y^2,x^4*y,x^5,x*y^5,x^2*y^4,y^7)"
37,-17,False,"10, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3), ideal(x^2,y^3,x*y^2), ideal(x*y^2,x^2*y,x^3,y^4), ideal(x^2*y,x^3,y^4,x*y^3), ideal(x^3,x*y^3,x^2*y^2,y^5), ideal(x^2*y^2,x^3*y,x^4,y^5,x*y^4), ideal(x^3*y,x^4,x*y^4,x^2*y^3,y^6), ideal(x^4,x^2*y^3,x^3*y^2,y^6,x*y^5), ideal(x^3*y^2,x^4*y,x^5,x*y^5,x^2*y^4,y^7)"
