char,cong,irred,nu-invariants,ideals
2,2,True,1,"ideal(y^4,x^2*y^2,x^4)"
3,3,True,"1, 2","ideal(x*y,x^2,y^3), ideal(x*y^4,x^2*y^3,x^4*y,x^5,y^6)"
5,5,True,"1, 2, 3, 4","ideal(y,x), ideal(x*y,y^3,x^3), ideal(x*y^3,x^2*y^2,x^3*y,x^4,y^5), ideal(x^4*y,x*y^5,x^2*y^4,x^3*y^3,x^6,y^7)"
7,7,True,"1, 2, 3, 4, 5, 6","ideal 1, ideal(x,y^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4), ideal(y^5,x*y^4,x^2*y^3,x^3*y^2,x^4*y,x^5), ideal(x*y^5,x^3*y^3,x^4*y^2,x^5*y,x^6,y^7)"
11,11,True,"2, 3, 4, 5, 6, 7, 8, 9, 10","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(x^2,y^3,x*y^2), ideal(x*y^2,x^2*y,x^3,y^4), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4), ideal(y^5,x*y^4,x^2*y^3,x^3*y^2,x^4*y,x^5), ideal(x^5,y^6,x*y^5,x^2*y^4,x^3*y^3,x^4*y^2), ideal(x^2*y^4,x^4*y^2,x^5*y,x^6,y^7,x*y^6)"
13,13,True,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(x^3+5*x^2*y+6*x*y^2,y^4-x^2*y+4*x*y^2,x*y^3+3*x^2*y+x*y^2,x^2*y^2+4*x^2*y-3*x*y^2), ideal(x^2*y^2+6*x*y^3-4*y^4,x^3*y-x*y^3-2*y^4,x^4+4*x*y^3-4*y^4,y^5+4*x*y^3+4*y^4,x*y^4+6*x*y^3+3*y^4), ideal(x^2*y^3+2*x*y^4-6*y^5-5*x^4,x^3*y^2-4*x*y^4+3*y^5+6*x^4,x^4*y-4*x*y^4+5*y^5+3*x^4,x^5-x*y^4-3*y^5-2*x^4,y^6-4*x^5-2*x*y^4-2*y^5+2*x^4), ideal(y^6+3*x^5-x^4*y-3*x^3*y^2-4*x^2*y^3-x*y^4,x*y^5+4*x^5+2*x^4*y+x^3*y^2-2*x^2*y^3+6*x*y^4,x^2*y^4+2*x^5-3*x^4*y+4*x^2*y^3+x*y^4,x^3*y^3-5*x^4*y-2*x^3*y^2-x^2*y^3+3*x*y^4,x^4*y^2-3*x^5-4*x^4*y+3*x^3*y^2-2*x^2*y^3+6*x*y^4,x^5*y+3*x^5-x^4*y+4*x^3*y^2+3*x^2*y^3+4*x*y^4), ideal(x^5*y+2*x^4*y^2-x^3*y^3-3*x^2*y^4+2*x*y^5-4*y^6,x^6-5*x^4*y^2-x^3*y^3-5*x^2*y^4+5*x*y^5-5*y^6,y^7+4*x^4*y^2+2*x^3*y^3+x^2*y^4-2*x*y^5+6*y^6,x*y^6-6*x^4*y^2+5*x^3*y^3-3*x^2*y^4-2*x*y^5+3*y^6,x^2*y^5+4*x^4*y^2+4*x^3*y^3+6*x^2*y^4+2*x*y^5+2*y^6,x^3*y^4-4*x^4*y^2-3*x^3*y^3+x^2*y^4-6*x*y^5+3*y^6,x^4*y^3+5*x^4*y^2-3*x^3*y^3-5*x^2*y^4-2*x*y^5-3*y^6), ideal(x^4*y^3+4*x^3*y^4-5*x^2*y^5+3*x*y^6-3*x^6-4*x^5*y-3*x^4*y^2,x^5*y^2+4*x^3*y^4+x^2*y^5+2*x*y^6-y^7-5*x^6+5*x^5*y-6*x^4*y^2,x^6*y+6*x^3*y^4+3*x*y^6+6*y^7+x^6-5*x^5*y+6*x^4*y^2,x^7+6*x^3*y^4+6*x^2*y^5-6*x*y^6+y^7+2*x^6+2*x^5*y-5*x^4*y^2,y^8-3*x^7-6*x^3*y^4-6*x^2*y^5+y^7-4*x^6-x^5*y-4*x^4*y^2,x*y^7+3*x^3*y^4+5*x^2*y^5+4*x*y^6-3*y^7+4*x^6-5*x^5*y+6*x^4*y^2,x^2*y^6-5*x^6*y-3*x^3*y^4+6*x^2*y^5-5*x*y^6-5*y^7+5*x^6+5*x^5*y-6*x^4*y^2)"
17,17,True,"3, 5, 7, 9, 11, 13, 14, 15, 16","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4), ideal(y^5,x*y^4,x^2*y^3,x^3*y^2,x^4*y,x^5), ideal(x^5,y^6,x*y^5,x^2*y^4,x^3*y^3,x^4*y^2), ideal(y^6,x*y^5,x^2*y^4,x^3*y^3,x^4*y^2,x^5*y,x^6), ideal(x^5*y,x^6,y^7,x*y^6,x^2*y^5,x^3*y^4,x^4*y^3)"
19,19,True,"4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(x^2,y^3,x*y^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(x^2*y,x^3,y^4,x*y^3), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4), ideal(x^2*y^2,x^3*y,x^4,y^5,x*y^4), ideal(y^5,x*y^4,x^2*y^3,x^3*y^2,x^4*y,x^5), ideal(x^2*y^3,x^3*y^2,x^4*y,x^5,y^6,x*y^5), ideal(x^5,y^6,x*y^5,x^2*y^4,x^3*y^3,x^4*y^2), ideal(x*y^5,x^2*y^4,x^3*y^3,x^4*y^2,x^5*y,x^6,y^7), ideal(x^5*y,x^6,y^7,x*y^6,x^2*y^5,x^3*y^4,x^4*y^3)"
23,23,True,"4, 7, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22","ideal 1, ideal(y,x), ideal(y^2,x*y,x^2), ideal(y^3,x*y^2,x^2*y,x^3), ideal(x*y^2,x^2*y,x^3,y^4), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4), ideal(x^3*y,x^4,y^5,x*y^4,x^2*y^3), ideal(y^5,x*y^4,x^2*y^3,x^3*y^2,x^4*y,x^5), ideal(x*y^4,x^2*y^3,x^3*y^2,x^4*y,x^5,y^6), ideal(x^4*y,x^5,y^6,x*y^5,x^2*y^4,x^3*y^3), ideal(y^6,x*y^5,x^2*y^4,x^3*y^3,x^4*y^2,x^5*y,x^6), ideal(x^3*y^3,x^4*y^2,x^5*y,x^6,y^7,x*y^6,x^2*y^5), ideal(x^5*y,x^6,y^7,x*y^6,x^2*y^5,x^3*y^4,x^4*y^3)"
29,29,True,"6, 9, 10, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28","ideal 1, ideal(y,x), ideal(x,y^2), ideal(y^2,x*y,x^2), ideal(x*y,x^2,y^3), ideal(y^3,x*y^2,x^2*y,x^3), ideal(x*y^2,x^2*y,x^3,y^4), ideal(x^3,y^4,x*y^3,x^2*y^2), ideal(y^4,x*y^3,x^2*y^2,x^3*y,x^4), ideal(x^2*y^2,x^3*y,x^4,y^5,x*y^4), ideal(x^4,y^5,x*y^4,x^2*y^3,x^3*y^2), ideal(y^5,x*y^4,x^2*y^3,x^3*y^2,x^4*y,x^5), ideal(x*y^4,x^2*y^3,x^3*y^2,x^4*y,x^5,y^6), ideal(x^4*y,x^5,y^6,x*y^5,x^2*y^4,x^3*y^3), ideal(y^6,x*y^5,x^2*y^4,x^3*y^3,x^4*y^2,x^5*y,x^6), ideal(x*y^5,x^2*y^4,x^3*y^3,x^4*y^2,x^5*y,x^6,y^7), ideal(x^4*y^2,x^5*y,x^6,y^7,x*y^6,x^2*y^5,x^3*y^4), ideal(x^6,y^7,x*y^6,x^2*y^5,x^3*y^4,x^4*y^3,x^5*y^2)"
